Date,ZhatCILo1,ZhatCILo2,ZhatCIlo3,Zhat,ZhatCIUp3,ZhatCIUp2,ZhatCIUp1
2020-03-01,0,0,0,0,0,0,0
2020-03-02,0,0,0,0,0,0,0
2020-03-03,0,0,0,0,0,0,0
2020-03-04,0,0,0,0,0,0,0
2020-03-05,0,0,0,0,0,0,0
2020-03-06,0,0,0,0,0,0,0
2020-03-07,0,0,0,0,0,0,0
2020-03-08,0,0,0,0,0,0,0
2020-03-09,0,0,0,0,0,0,0
2020-03-10,0,0,0,0,0,0,0
2020-03-11,0,0,0,0,0,0,0
2020-03-12,0,0,0,1,3,3,3
2020-03-13,0,0,0,0,0,0,0
2020-03-14,0,0,0,0,0,0,0
2020-03-15,0,0,0,0,0,0,0
2020-03-16,0,0,0,0,0,0,0
2020-03-17,0,0,0,2,3,3,3
2020-03-18,0,0,0,0,0,0,0
2020-03-19,0,0,0,0,0,0,0
2020-03-20,0,0,0,0,0,0,0
2020-03-21,1,1,1,1,3,3,4
2020-03-22,0,0,0,0,0,0,0
2020-03-23,0,0,0,0,0,0,0
2020-03-24,0,0,0,0,0,0,0
2020-03-25,1,1,1,2,3,4,5
2020-03-26,1,1,1,2,3,3,4
2020-03-27,0,0,0,0,0,0,0
2020-03-28,0,0,0,0,0,0,0
2020-03-29,1,1,1,3,5,5,6
2020-03-30,0,0,0,0,0,0,0
2020-03-31,1,1,1,2,4,4,5
2020-04-01,0,0,0,0,0,0,0
2020-04-02,1,1,2,3,5,6,7
2020-04-03,0,0,0,1,4,4,4
2020-04-04,1,1,2,3,6,6,7
2020-04-05,0,0,0,0,2,3,4
2020-04-06,1,1,1,2,4,4,5
2020-04-07,0,0,0,0,2,3,4
2020-04-08,1,1,1,2,4,4,5
2020-04-09,0,0,0,0,2,3,4
2020-04-10,1,1,1,2,3,4,5
2020-04-11,0,0,0,0,2,2,4
2020-04-12,0,0,0,0,2,2,3
2020-04-13,0,0,0,0,1,2,3
2020-04-14,0,0,0,0,1,1,2
2020-04-15,1,1,1,1,3,3,4
2020-04-16,0,0,0,0,0,0,2
2020-04-17,0,0,0,0,0,0,2
2020-04-18,1,1,1,2,4,4,5
2020-04-19,0,0,0,0,0,0,2
2020-04-20,0,0,0,0,0,0,1
